"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"5/16/09",5,2009,"CS: Cagesport 5",FALSE,"Submission (Guillotine)","Submission","1","03:44:00","L",3007965,"Davis, Stryder","USA","M","W",2500935,"Ellis, Eddy","USA","M","Lightweight"
"2/18/22",2,2022,"PFL Challenger Series: Week 1",FALSE,"KO/TKO","KO/TKO","1","04:43:00","L",4712331,"Davis, Travis","USA","M","W",4915650,"Souto, Bruce","BRA","M","Heavyweight"
"7/16/21",7,2021,"Bellator 262: Velasquez vs. Kielholtz",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4712331,"Davis, Travis","USA","M","W",4697390,"Eblen, Johnny","USA","M","Middleweight"
"12/5/20",12,2020,"OCL: Ohio Combat League 8",FALSE,"Submission (Rear Naked Choke)","Submission","1","03:03:00","W",4712331,"Davis, Travis","USA","M","L",4683704,"Maulding, Marcus","USA","M","Middleweight"
"8/3/19",8,2019,"OCL: Ohio Combat League 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4712331,"Davis, Travis","USA","M","L",4712330,"Gidron, Robert","USA","M","Middleweight"
"5/10/19",5,2019,"OCL: Ohio Combat League 1",FALSE,"TKO (Doctor Stoppage)","KO/TKO","1","05:00:00","W",4712331,"Davis, Travis","USA","M","L",4882359,"Lewis, Tavae","USA","M","Middleweight"
"12/22/18",12,2018,"Pinnacle FC 18: Pinnacle Fighting Championships 18",FALSE,"Decision - Split","Decision","3","05:00:00","L",4712331,"Davis, Travis","USA","M","W",4523403,"Fremd, Josh","USA","M","Middleweight"
"6/2/18",6,2018,"Iron Tiger Fight Series / Alliance MMA - IT Fight Series 82",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4712331,"Davis, Travis","USA","M","W",2585966,"Steele, Dominique","USA","M","Middleweight"
"3/3/18",3,2018,"Alliance MMA: @ The Arnold Sports Festival",FALSE,"TKO (Injury)","KO/TKO","2","05:00:00","W",4712331,"Davis, Travis","USA","M","L",4336424,"Murray, Jesse","USA","M","Heavyweight"
"3/3/17",3,2017,"JDFS - Justified Defiance Fight Series 5",FALSE,"KO (Punch)","KO/TKO","1","00:06:00","L",4712331,"Davis, Travis","USA","M","W",4063892,"Wheeler, Sidney","USA","M","Middleweight"
"8/4/18",8,2018,"X-1 World Events 50: Day 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2614109,"Davis Jr., Danny","USA","M","W",3922378,"Kamaka, Zane","USA","M","Middleweight"
"7/29/17",7,2017,"PFL 2: Harrison vs. Rodriguez",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2614109,"Davis Jr., Danny","USA","M","W",2486937,"Shields, Jake","USA","M","Middleweight"
"12/18/15",12,2015,"WSOF 26: Palmer vs. Almeida",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2614109,"Davis Jr., Danny","USA","M","W",3895515,"Nurmagomedov, Abubakar","RUS","M","Middleweight"
"9/18/15",9,2015,"WSOF 23: Gaethje vs. Palomino 2",FALSE,"Decision - Split","Decision","3","05:00:00","L",2614109,"Davis Jr., Danny","USA","M","W",3926254,"Frincu, Matthew","AUS","M","Middleweight"
"8/9/14",8,2014,"WSOF 12: Palomino vs. Gonzalez",FALSE,"Unanimous Decision","Decision","3","05:00:00","W",2614109,"Davis Jr., Danny","USA","M","L",2585977,"Lopez, Jorge","USA","M","Middleweight"
"5/23/13",5,2013,"XF 2 - Xtreme Fighters 2",FALSE,"KO","KO/TKO","1","00:16:00","W",2614109,"Davis Jr., Danny","USA","M","L",3127731,"Sandoval, Mike","USA","M","Middleweight"
"2/16/12",2,2012,"SCC 4: Grove vs. Silva",FALSE,"Unanimous Decision","Decision","3","05:00:00","L",2614109,"Davis Jr., Danny","USA","M","W",2504642,"Yager, Jamie","USA","M","Middleweight"
"9/23/11",9,2011,"Strikeforce: Challengers 19",FALSE,"Submission (Arm Triangle)","Submission","3","04:08:00","L",2614109,"Davis Jr., Danny","USA","M","W",2499933,"Mulhern, Quinn","USA","M","Middleweight"
"11/13/10",11,2010,"KOTC: Infusion",FALSE,"Submission (Arm Triangle)","Submission","1","02:54:00","L",2614109,"Davis Jr., Danny","USA","M","W",2611300,"Hulett, David","USA","M","Middleweight"
"8/27/10",8,2010,"ROF 39: Summer Brawl 2",FALSE,"Submission (Rear Naked Choke)","Submission","1","04:12:00","L",2614109,"Davis Jr., Danny","USA","M","W",2951482,"Thatch, Brandon","USA","M","Middleweight"
"5/22/10",5,2010,"MMA Xplosion: Next Generation Fighter",FALSE,"Unanimous Decision","Decision","3","05:00:00","W",2614109,"Davis Jr., Danny","USA","M","L",2611300,"Hulett, David","USA","M","Middleweight"
"10/23/21",10,2021,"Bellator 269: Fedor vs. Johnson",FALSE,"Decision - Split","Decision","3","05:00:00","L",4289879,"Davlatmurodov, Sharaf","RUS","M","W",3094512,"Tokov, Anatoly","RUS","M","Middleweight"
"6/12/21",6,2021,"OFC 5 - Open Fighting Championship 5",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",2990567,"Silva, Kleber","BRA","M","Heavyweight"
"4/27/19",4,2019,"ACA 95: Moscow",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",2614816,"de Jesus, Ismael","BRA","M","Middleweight"
"11/10/18",11,2018,"ACB 90: Moscow",FALSE,"TKO (Knee)","KO/TKO","2","01:45:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4883828,"Yankovski, Umar","KAZ","M","Middleweight"
"5/5/18",5,2018,"ACB 86: Balaev vs. Raisov 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4289879,"Davlatmurodov, Sharaf","RUS","M","W",4415096,"Khiramagomedov, Gadzhimurad","RUS","M","Middleweight"
"8/26/17",8,2017,"ACB 68: Young Eagles 21",FALSE,"Submission (Rear Naked Choke)","Submission","2","02:38:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4006198,"Verzbickas, Mindaugas","LTU","M","Middleweight"
"11/26/16",11,2016,"ACB 49: Rostov Onslaught",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",3895855,"Lutterbach, Joilton","BRA","M","Middleweight"
"4/30/16",4,2016,"Altay Republic MMA League - Road to Battle of Tigers",FALSE,"TKO (Punches)","KO/TKO","1","01:54:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4883825,"Smolyakov, Maxim","USA","M","Middleweight"
"4/30/16",4,2016,"Altay Republic MMA League - Road to Battle of Tigers",FALSE,"TKO (Punches)","KO/TKO","2","00:00:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4883826,"Platonov, Dmitry","USA","M","Middleweight"
"2/7/16",2,2016,"Altay Republic MMA League: Battle of Tigers 4",FALSE,"Submission (Rear Naked Choke)","Submission","1","02:57:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4883824,"Velikov, Sergey","SER","M","Middleweight"
"11/11/15",11,2015,"Altay Republik MMA League - Battle of Tigers 3",FALSE,"TKO (Punches)","KO/TKO","1","03:57:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4883822,"Nikitin, Ilya","RUS","M","Middleweight"
"8/9/15",8,2015,"Altay Republik MMA League - Battle of Champions",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4289879,"Davlatmurodov, Sharaf","RUS","M","L",4293121,"Vlasenko, Stanislav","RUS","M","Middleweight"
"10/16/10",10,2010,"WFF: World Fighting Federation",FALSE,"TKO","KO/TKO","1","06:31:00","L",2558073,"Davtyan, Karo","RUS","M","W",2354346,"Lindland, Matt","USA","M","Middleweight"
"10/10/20",10,2020,"Bellator 248: Kongo vs. Johnson 2",FALSE,"Submission","Submission","1","04:10:00","L",4693397,"Dawa, Emmanuel","FRA","M","W",4220827,"Enkamp, Oliver","SWE","M","Welterweight"
"10/28/17",10,2017,"OFC: Octagon Fighting Club 17",FALSE,"Decision - Split","Decision","3","05:00:00","W",4693397,"Dawa, Emmanuel","FRA","M","L",3088689,"Tchoungui, Charles-Henri","FRA","M","Welterweight"
"3/25/17",3,2017,"AFL 11: Canarias",FALSE,"KO/TKO","KO/TKO","1","03:12:00","W",4693397,"Dawa, Emmanuel","FRA","M","L",4697119,"Nunez, Gerardo","BRA","M","Welterweight"
"10/25/15",10,2015,"OFC: Octagon Fighting Club 13",FALSE,"KO/TKO","KO/TKO","2","00:20:00","W",4693397,"Dawa, Emmanuel","FRA","M","L",4697091,"Mousayev, Timour","BEL","M","Middleweight"
"4/26/14",4,2014,"100% Fight 21: Supreme League Round 2",FALSE,"KO/TKO","KO/TKO","1","03:42:00","W",4693397,"Dawa, Emmanuel","FRA","M","L",4697090,"Mikaelian, Kevin","FRA","M","Welterweight"
"9/10/22",9,2022,"UFC 279: Diaz vs. Ferguson",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",3165010,"Dawodu, Hakeem","CAN","M","W",3955577,"Erosa, Julian","USA","M","Featherweight"
